trip_id,arrival_time,departure_time,stop_id,stop_sequence
9,11:25:00,11:25:00,orange-6,6
9,11:35:00,11:35:00,orange-7,7
9,11:40:00,11:40:00,orange-8,8
9,11:50:00,11:50:00,orange-9,9
9,11:55:00,11:55:00,orange-10,10
9,12:00:00,12:00:00,orange-1,1
9,12:05:00,12:05:00,orange-2,2
9,12:10:00,12:10:00,orange-3,3
9,12:15:00,12:15:00,orange-4,4
9,12:20:00,12:20:00,orange-5,5
9,12:25:00,12:25:00,orange-6,6
9,12:35:00,12:35:00,orange-7,7
9,12:40:00,12:40:00,orange-8,8
9,12:50:00,12:50:00,orange-9,9
9,12:55:00,12:55:00,orange-10,10
9,13:00:00,13:00:00,orange-1,1
9,13:05:00,13:05:00,orange-2,2
9,13:10:00,13:10:00,orange-3,3
9,13:15:00,13:15:00,orange-4,4
9,13:20:00,13:20:00,orange-5,5
9,13:25:00,13:25:00,orange-6,6
9,13:35:00,13:35:00,orange-7,7
9,13:40:00,13:40:00,orange-8,8
9,13:50:00,13:50:00,orange-9,9
9,13:55:00,13:55:00,orange-10,10
9,14:00:00,14:00:00,orange-1,1
9,14:05:00,14:05:00,orange-2,2
9,14:10:00,14:10:00,orange-3,3
9,14:15:00,14:15:00,orange-4,4
9,14:20:00,14:20:00,orange-5,5
9,14:25:00,14:25:00,orange-6,6
9,14:35:00,14:35:00,orange-7,7
9,14:40:00,14:40:00,orange-8,8
9,14:50:00,14:50:00,orange-9,9
9,14:55:00,14:55:00,orange-10,10
9,15:00:00,15:00:00,orange-1,1
9,15:05:00,15:05:00,orange-2,2
9,15:10:00,15:10:00,orange-3,3
9,15:15:00,15:15:00,orange-4,4
9,15:20:00,15:20:00,orange-5,5
9,15:25:00,15:25:00,orange-6,6
9,15:35:00,15:35:00,orange-7,7
9,15:40:00,15:40:00,orange-8,8
9,15:50:00,15:50:00,orange-9,9
9,15:55:00,15:55:00,orange-10,10
9,16:00:00,16:00:00,orange-1,1
9,16:05:00,16:05:00,orange-2,2
9,16:10:00,16:10:00,orange-3,3
9,16:15:00,16:15:00,orange-4,4
9,16:20:00,16:20:00,orange-5,5
9,16:25:00,16:25:00,orange-6,6
9,16:35:00,16:35:00,orange-7,7
9,16:40:00,16:40:00,orange-8,8
9,16:50:00,16:50:00,orange-9,9
9,16:55:00,16:55:00,orange-10,10
